track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
0,1,100,car,1055.70498152788,942.7673406757722,1.306,-0.047,-0.126,3.8,1.5
0,2,200,car,1055.8355690869255,942.7626411608176,2.599,-0.092,-0.12,3.8,1.5
0,3,300,car,1056.095456113689,942.7533997845492,3.866,-0.135,-0.113,3.8,1.5
0,4,400,car,1056.482104272632,942.7399268294143,5.097,-0.173,-0.106,3.8,1.5
0,5,500,car,1056.9917989530513,942.722675439848,6.28,-0.204,-0.099,3.8,1.5
0,6,600,car,1057.6197556290733,942.7022275102332,7.405,-0.23,-0.092,3.8,1.5
0,7,700,car,1058.3602535942985,942.6792760613328,8.465,-0.247,-0.084,3.8,1.5
0,8,800,car,1059.206790866401,942.6546047945623,9.455,-0.255,-0.076,3.8,1.5
0,9,900,car,1060.1522532886238,942.6290658874893,10.368,-0.255,-0.068,3.8,1.5
0,10,1000,car,1061.189090512592,942.60355697614,11.204,-0.246,-0.06,3.8,1.5
0,11,1100,car,1062.3094917786675,942.5789982293308,11.961,-0.227,-0.052,3.8,1.5
0,12,1200,car,1063.5055548491084,942.5563104632381,12.639,-0.199,-0.044,3.8,1.5
0,13,1300,car,1064.7694422643924,942.5363951432037,13.241,-0.163,-0.036,3.8,1.5
0,14,1400,car,1066.0935203589415,942.5201166749048,13.77,-0.118,-0.028,3.8,1.5
0,15,1500,car,1067.4704776452868,942.508287663826,14.229,-0.066,-0.021,3.8,1.5
0,16,1600,car,1068.8934203843326,942.5016572093407,14.625,-0.008,-0.014,3.8,1.5
0,17,1700,car,1070.355944664091,942.500902429839,14.962,0.057,-0.006,3.8,1.5
0,18,1800,car,1071.852163928012,942.5066196589219,15.246,0.127,0.0,3.8,1.5
0,19,1900,car,1073.3767472526956,942.5193236994949,15.482,0.201,0.007,3.8,1.5
0,20,2000,car,1074.9249439670482,942.5394505408975,15.676,0.279,0.013,3.8,1.5
0,21,2100,car,1076.492557154941,942.5673567678076,15.834,0.36,0.019,3.8,1.5
0,22,2200,car,1078.075916667042,942.6033227480572,15.959,0.442,0.025,3.8,1.5
0,23,2300,car,1079.6718402168576,942.6475568996234,16.057,0.526,0.03,3.8,1.5
0,24,2400,car,1081.2775853640037,942.7002004360406,16.132,0.611,0.036,3.8,1.5
0,25,2500,car,1082.890794798978,942.7613321781637,16.186,0.696,0.041,3.8,1.5
0,26,2600,car,1084.5094370553447,942.8309731215274,16.223,0.781,0.046,3.8,1.5
0,27,2700,car,1086.1317442953414,942.9090902113326,16.244,0.865,0.052,3.8,1.5
0,28,2800,car,1087.756148528179,942.9955992653012,16.251,0.948,0.057,3.8,1.5
0,29,2900,car,1089.381216898316,943.0903666053289,16.244,1.028,0.062,3.8,1.5
0,30,3000,car,1091.0055867788467,943.1932095130644,16.223,1.107,0.068,3.8,1.5
0,31,3100,car,1092.6279008012339,943.3038952357192,16.188,1.182,0.073,3.8,1.5
0,32,3200,car,1094.2467419466568,943.4221387246414,16.138,1.255,0.078,3.8,1.5
0,33,3300,car,1095.8605689007763,943.5475990169729,16.071,1.323,0.084,3.8,1.5
0,34,3400,car,1097.467651922193,943.67987461128,15.984,1.386,0.089,3.8,1.5
0,35,3500,car,1099.0660095356723,943.8184979220686,15.873,1.444,0.094,3.8,1.5
0,36,3600,car,1100.6533469943274,943.962929165981,15.737,1.496,0.099,3.8,1.5
0,37,3700,car,1102.226997654056,944.1125500561424,15.569,1.541,0.104,3.8,1.5
0,38,3800,car,1103.7838686990544,944.26665773664,15.365,1.578,0.109,3.8,1.5
0,39,3900,car,1105.3203934926728,944.4244594269317,15.121,1.606,0.114,3.8,1.5
0,40,4000,car,1106.8324927234883,944.5850682988632,14.831,1.624,0.119,3.8,1.5
0,41,4100,car,1108.3155471649052,944.7475011601583,14.488,1.632,0.123,3.8,1.5
0,42,4200,car,1109.764370509287,944.9106803519246,14.089,1.628,0.128,3.8,1.5
0,43,4300,car,1111.1732329383121,945.0734341087721,13.627,1.611,0.132,3.8,1.5
0,44,4400,car,1112.5358979751886,945.2345011122641,13.098,1.58,0.136,3.8,1.5
0,45,4500,car,1113.8456479853396,945.3925429581013,12.497,1.536,0.139,3.8,1.5
0,46,4600,car,1115.0953539647458,945.5461576821322,11.822,1.477,0.143,3.8,1.5
0,47,4700,car,1116.2775684428464,945.6938972840458,11.071,1.404,0.146,3.8,1.5
0,48,4800,car,1117.3846408476545,945.8342889229087,10.242,1.316,0.148,3.8,1.5
0,49,4900,car,1118.408853293866,945.9658595795389,9.337,1.213,0.15,3.8,1.5
0,50,5000,car,1119.3425735504036,946.0871634067638,8.358,1.096,0.152,3.8,1.5
0,51,5100,car,1120.1784205796182,946.1968110929133,7.31,0.967,0.153,3.8,1.5
0,52,5200,car,1120.909436954962,946.2935002189793,6.198,0.825,0.154,3.8,1.5
