track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
0,1,100,car,1072.6602737197165,942.1564436662455,1.04,0.024,-0.035,3.8,1.5
0,2,200,car,1072.76426183391,942.1588156681744,2.069,0.048,-0.029,3.8,1.5
0,3,300,car,1072.9711808338454,942.1635950280449,3.078,0.073,-0.022,3.8,1.5
0,4,400,car,1073.2789438793168,942.1708516610234,4.056,0.098,-0.01,3.8,1.5
0,5,500,car,1073.684503462666,942.1806860886229,4.994,0.125,-0.007,3.8,1.5
0,6,600,car,1074.1839305085603,942.1932270270128,5.886,0.154,-0.001,3.8,1.5
0,7,700,car,1074.7725285841025,942.2086269555061,6.724,0.184,0.009,3.8,1.5
0,8,800,car,1075.4449642755128,942.2270552884581,7.504,0.216,0.012,3.8,1.5
0,9,900,car,1076.1953998607262,942.248693886358,8.222,0.25,0.017,3.8,1.5
0,10,1000,car,1077.0176455762187,942.2737305793371,8.877,0.286,0.028,3.8,1.5
0,11,1100,car,1077.9052982174815,942.3023540564466,9.466,0.324,0.033,3.8,1.5
0,12,1200,car,1078.8518863708093,942.3347490533612,9.991,0.363,0.038,3.8,1.5
0,13,1300,car,1079.850999333704,942.3710906192706,10.454,0.405,0.044,3.8,1.5
0,14,1400,car,1080.8964033816894,942.4115423871651,10.857,0.447,0.046,3.8,1.5
0,15,1500,car,1081.9821368822427,942.4562523570099,11.205,0.491,0.052,3.8,1.5
0,16,1600,car,1083.1025957484592,942.5053515217618,11.5,0.536,0.055,3.8,1.5
0,17,1700,car,1084.2525956438997,942.5589531739128,11.748,0.582,0.06,3.8,1.5
0,18,1800,car,1085.4274104989522,942.6171529603816,11.954,0.629,0.066,3.8,1.5
0,19,1900,car,1086.6227976523735,942.6800295774481,12.122,0.676,0.068,3.8,1.5
0,20,2000,car,1087.8349914660962,942.7476431801693,12.257,0.724,0.072,3.8,1.5
0,21,2100,car,1089.060708404923,942.8200383356414,12.364,0.772,0.076,3.8,1.5
0,22,2200,car,1090.2971397009974,942.8972495013589,12.448,0.821,0.083,3.8,1.5
0,23,2300,car,1091.5419133622715,942.9793002936168,12.511,0.869,0.084,3.8,1.5
0,24,2400,car,1092.7930614183242,943.0662043381207,12.559,0.918,0.088,3.8,1.5
0,25,2500,car,1094.0489748297791,943.1579671167622,12.594,0.966,0.092,3.8,1.5
0,26,2600,car,1095.3083577183902,943.2545864042042,12.618,1.015,0.097,3.8,1.5
0,27,2700,car,1096.5701852924105,943.3560525098926,12.635,1.063,0.1,3.8,1.5
0,28,2800,car,1097.8336485200803,943.4623463413667,12.645,1.111,0.104,3.8,1.5
0,29,2900,car,1099.098106383225,943.5734384627095,12.649,1.158,0.106,3.8,1.5
0,30,3000,car,1100.363033206112,943.6892860491266,12.649,1.205,0.111,3.8,1.5
0,31,3100,car,1101.6279697591294,943.8098295247461,12.645,1.252,0.114,3.8,1.5
0,32,3200,car,1102.892469354056,943.9349874000937,12.636,1.297,0.116,3.8,1.5
0,33,3300,car,1104.1560490376157,944.0646512023418,12.621,1.34,0.119,3.8,1.5
0,34,3400,car,1105.4181301735257,944.198679096345,12.599,1.382,0.123,3.8,1.5
0,35,3500,car,1106.6779871597557,944.3368885247495,12.567,1.422,0.127,3.8,1.5
0,36,3600,car,1107.9346979992936,944.4790487834803,12.524,1.458,0.131,3.8,1.5
0,37,3700,car,1109.187078974816,944.6248732805705,12.466,1.491,0.133,3.8,1.5
0,38,3800,car,1110.4336383906193,944.7740113674048,12.389,1.52,0.137,3.8,1.5
0,39,3900,car,1111.6725220469084,944.9260404727439,12.289,1.544,0.141,3.8,1.5
0,40,4000,car,1112.9014636056988,945.0804590850368,12.163,1.562,0.144,3.8,1.5
0,41,4100,car,1114.1177451138917,945.2366799355491,12.004,1.573,0.147,3.8,1.5
